student_id,avg_score,total_weight,activity_days,total_clicks
S1000,75.9,88.7,121,905
S1001,65.8,100.0,107,520
S1002,78.4,46.8,83,442
S1003,92.4,82.1,63,679
S1004,64.3,60.3,101,630
S1005,64.3,63.2,93,548
S1006,93.3,61.3,107,881
S1007,80.3,56.4,99,957
S1008,60.5,72.9,111,705
S1009,76.7,57.0,67,1108
S1010,60.6,76.9,118,348
S1011,60.5,71.1,87,623
S1012,71.9,67.7,140,472
S1013,37.4,55.7,62,138
S1014,40.4,61.6,130,656
S1015,59.0,85.6,87,644
S1016,51.8,81.0,63,1118
S1017,73.0,54.4,68,862
S1018,53.5,73.8,73,382
S1019,45.4,85.5,93,1217
S1020,91.5,42.0,96,1034
S1021,64.4,81.8,65,848
S1022,69.1,60.1,81,614
S1023,45.2,82.3,141,401
S1024,59.3,58.3,130,572
S1025,69.8,39.5,94,995
S1026,49.6,42.7,83,1226
S1027,74.0,72.9,85,1127
S1028,58.4,76.7,99,538
S1029,63.3,55.7,53,355
S1030,58.4,83.5,74,720
S1031,97.6,42.1,35,167
S1032,67.8,70.8,93,773
S1033,51.1,50.2,100,637
S1034,81.2,60.3,68,544
S1035,48.5,72.9,126,217
S1036,71.3,56.5,47,828
S1037,36.6,65.1,40,525
S1038,46.7,90.1,88,340
S1039,71.1,61.6,111,60
S1040,79.8,87.0,129,672
S1041,70.7,51.7,69,1193
S1042,66.1,81.5,112,1161
S1043,63.2,97.9,80,547
S1044,44.3,27.5,77,505
S1045,56.5,57.7,106,815
S1046,60.6,82.4,100,390
S1047,84.9,68.3,37,767
S1048,73.5,78.7,123,902
S1049,39.8,61.1,120,1035
S1050,73.2,73.6,64,650
S1051,61.8,69.2,93,620
S1052,57.2,93.0,95,425
S1053,77.8,76.6,89,440
S1054,84.5,78.1,66,614
S1055,82.9,64.6,63,786
S1056,54.6,63.2,81,944
S1057,63.1,64.2,114,447
S1058,73.3,79.1,97,1112
S1059,83.6,64.4,71,601
S1060,60.3,77.2,103,673
S1061,65.0,100.0,10,463
S1062,50.3,87.7,114,60
S1063,48.9,66.1,33,936
S1064,81.0,93.6,71,893
S1065,89.7,64.7,50,598
S1066,66.8,35.3,45,699
S1067,84.1,53.9,114,829
S1068,73.8,38.3,68,226
S1069,57.7,65.7,91,526
S1070,73.8,72.3,80,910
S1071,92.6,100.0,95,316
S1072,67.4,77.9,84,765
S1073,93.0,68.1,46,286
S1074,26.1,86.9,109,815
S1075,81.2,32.2,68,669
S1076,69.4,76.2,38,211
S1077,63.2,85.9,70,1017
S1078,69.5,45.4,124,466
S1079,36.2,92.6,105,445
S1080,64.5,78.1,72,738
S1081,73.7,64.5,72,1013
S1082,91.6,83.4,72,385
S1083,59.7,100.0,140,697
S1084,55.1,75.3,92,804
S1085,60.0,76.5,94,881
S1086,82.6,63.7,110,731
S1087,73.3,56.7,88,573
S1088,59.5,86.9,74,439
S1089,76.2,56.6,76,704
S1090,69.6,73.3,79,369
S1091,83.5,63.4,80,60
S1092,56.8,80.6,102,806
S1093,62.8,78.0,83,942
S1094,61.7,90.7,102,60
S1095,44.6,62.8,79,387
S1096,72.7,67.1,84,859
S1097,72.2,54.4,26,1276
S1098,68.1,64.0,107,686
S1099,64.2,78.8,91,468
S1100,45.4,85.6,109,626
S1101,61.3,55.4,10,1078
S1102,62.5,87.7,140,492
S1103,55.2,96.4,78,448
S1104,65.4,79.4,113,540
S1105,74.5,100.0,52,403
S1106,98.0,58.1,99,715
S1107,70.8,49.6,52,1151
S1108,72.1,40.0,64,773
S1109,66.8,98.9,135,606
S1110,37.3,83.8,76,595
S1111,67.6,71.0,88,226
S1112,69.0,77.0,106,936
S1113,98.0,51.7,95,657
S1114,64.9,100.0,86,627
S1115,72.8,74.3,92,1600
S1116,67.4,74.0,149,766
S1117,49.3,85.1,80,461
S1118,86.3,80.7,87,556
S1119,80.0,76.0,111,1013
S1120,80.7,57.8,112,712
S1121,53.4,80.5,115,262
S1122,90.4,100.0,99,946
S1123,45.6,96.2,49,486
S1124,77.4,100.0,127,1223
S1125,98.0,62.8,49,993
S1126,52.2,54.2,90,550
S1127,58.9,69.7,60,1051
S1128,69.6,73.0,80,699
S1129,59.9,91.7,91,927
S1130,43.2,41.5,90,820
S1131,69.1,99.5,93,434
S1132,51.0,69.2,127,493
S1133,75.6,64.3,94,978
S1134,53.3,53.8,75,582
S1135,92.8,42.2,108,562
S1136,55.5,86.8,115,403
S1137,62.8,73.3,47,802
S1138,81.0,48.8,98,1278
S1139,48.3,48.7,101,370
S1140,71.6,66.0,73,687
S1141,88.9,100.0,120,1089
S1142,42.3,67.3,77,656
S1143,71.0,44.9,85,811
S1144,72.2,67.6,77,371
S1145,80.5,67.1,82,804
S1146,48.2,23.5,51,625
S1147,46.9,71.0,41,965
S1148,76.4,67.8,126,1024
S1149,72.8,84.5,58,1430
S1150,72.0,100.0,54,848
S1151,73.5,92.3,21,774
S1152,57.1,67.2,64,736
S1153,71.7,52.1,44,577
S1154,72.7,100.0,127,778
S1155,56.6,73.1,110,594
S1156,97.9,72.3,62,728
S1157,75.6,71.6,145,1062
S1158,48.9,75.6,109,388
S1159,78.5,69.4,72,1010
S1160,52.4,61.7,12,1061
S1161,80.6,62.2,146,645
S1162,86.5,71.4,43,64
S1163,54.9,62.2,35,503
S1164,83.4,59.2,110,1056
S1165,74.6,73.9,150,673
S1166,81.2,67.4,120,390
S1167,98.0,99.1,97,533
S1168,64.1,24.3,98,923
S1169,55.9,91.6,105,838
S1170,53.8,94.4,103,610
S1171,54.9,34.7,89,573
S1172,66.8,65.8,84,566
S1173,73.5,65.3,80,412
S1174,72.4,46.7,60,1148
S1175,81.2,58.0,74,586
S1176,68.2,52.0,34,1032
S1177,91.3,100.0,79,1121
S1178,63.8,88.8,54,969
S1179,98.0,94.9,51,554
S1180,78.0,85.0,87,797
S1181,54.3,51.7,120,672
S1182,50.9,62.6,107,417
S1183,75.7,80.8,38,774
S1184,64.4,50.0,54,338
S1185,79.4,84.8,108,1024
S1186,75.6,67.7,54,545
S1187,66.8,65.3,75,738
S1188,54.5,84.8,97,762
S1189,43.8,80.0,54,604
S1190,60.9,65.5,84,850
S1191,81.7,92.9,44,542
S1192,71.4,52.5,65,932
S1193,48.1,83.1,90,289
S1194,70.8,82.7,37,716
S1195,74.2,66.4,94,1242
S1196,53.9,77.9,81,389
S1197,70.5,49.5,97,483
S1198,68.9,88.6,88,829
S1199,49.7,68.7,120,732
S1200,73.7,62.6,85,781
S1201,77.0,90.9,69,821
S1202,85.3,59.3,85,864
S1203,84.9,46.6,97,1001
S1204,46.0,44.0,83,798
S1205,53.0,82.9,83,610
S1206,76.2,49.0,62,875
S1207,76.2,100.0,63,1230
S1208,76.2,34.5,42,641
S1209,98.0,100.0,130,397
S1210,77.1,75.8,47,1001
S1211,86.2,70.3,62,645
S1212,83.3,62.2,61,60
S1213,78.4,79.2,107,925
S1214,63.0,71.3,73,524
S1215,80.1,91.9,116,653
S1216,55.6,74.1,63,776
S1217,64.2,74.7,89,735
S1218,60.2,65.5,58,885
S1219,69.3,71.0,142,553
S1220,98.0,77.5,48,828
S1221,38.1,41.2,90,604
S1222,79.0,47.7,99,894
S1223,42.2,85.4,93,858
S1224,60.4,75.1,76,408
S1225,85.4,68.7,78,994
S1226,69.0,72.3,83,524
S1227,50.8,78.3,77,914
S1228,56.6,62.3,108,786
S1229,78.9,58.0,143,1213
S1230,56.3,75.5,66,615
S1231,71.5,54.4,43,578
S1232,68.7,79.3,79,674
S1233,57.6,41.4,150,592
S1234,98.0,90.5,59,911
S1235,78.1,80.5,127,211
S1236,35.6,76.6,128,374
S1237,71.0,89.7,66,370
S1238,57.4,100.0,97,955
S1239,81.6,90.3,127,1176
S1240,55.3,38.9,71,649
S1241,66.2,49.0,76,631
S1242,76.1,60.8,65,700
S1243,81.9,72.5,53,1016
S1244,48.8,81.3,63,411
S1245,62.6,58.9,47,749
S1246,60.4,75.4,82,962
S1247,57.5,58.4,60,825
S1248,96.2,61.0,88,734
S1249,74.5,46.7,38,970
S1250,47.8,55.4,91,60
S1251,82.7,47.7,105,876
S1252,98.0,54.4,26,490
S1253,84.5,91.0,92,149
S1254,43.7,54.9,116,828
S1255,60.3,100.0,48,1078
S1256,88.3,80.9,128,640
S1257,56.7,75.3,93,956
S1258,75.1,56.5,62,1147
S1259,80.4,84.6,80,1061
S1260,53.2,61.6,97,1155
S1261,67.0,74.2,84,895
S1262,20.0,100.0,97,701
S1263,51.6,70.3,56,215
S1264,64.0,92.7,86,608
S1265,48.0,59.3,42,435
S1266,94.1,71.4,78,1309
S1267,45.1,100.0,56,628
S1268,61.0,60.7,61,715
S1269,70.1,100.0,116,839
S1270,91.1,84.7,112,692
S1271,45.0,61.9,99,1171
S1272,86.6,83.4,51,499
S1273,68.2,89.5,73,736
S1274,52.3,83.2,115,464
S1275,75.4,43.7,85,297
S1276,71.2,58.9,146,502
S1277,58.4,67.5,93,669
S1278,69.1,70.7,87,555
S1279,61.8,83.2,73,479
S1280,69.8,75.2,85,272
S1281,78.6,48.0,77,655
S1282,93.4,78.8,101,243
S1283,48.2,83.0,108,900
S1284,98.0,82.1,59,703
S1285,36.8,91.5,44,257
S1286,65.6,87.0,30,590
S1287,77.4,80.3,96,461
S1288,72.5,70.7,51,772
S1289,58.0,42.1,21,1068
S1290,64.7,79.7,92,136
S1291,60.1,75.7,150,713
S1292,58.6,76.9,81,633
S1293,81.6,49.0,105,874
S1294,73.7,52.5,84,741
S1295,56.9,91.0,79,461
S1296,82.4,71.3,107,587
S1297,72.9,84.3,73,449
S1298,81.0,72.5,89,992
S1299,78.1,72.5,91,686
S1300,54.7,88.9,63,1231
S1301,59.0,62.7,109,662
S1302,80.0,73.7,77,474
S1303,77.8,63.7,60,241
S1304,67.7,64.2,97,157
S1305,69.9,66.4,56,220
S1306,88.4,76.0,82,757
S1307,58.5,63.4,81,827
S1308,76.8,94.6,112,221
S1309,64.8,55.9,95,939
S1310,64.5,68.6,81,539
S1311,85.6,64.1,104,722
S1312,81.2,98.0,120,1147
S1313,81.0,75.5,97,940
S1314,88.9,90.6,82,602
S1315,68.3,45.3,45,421
S1316,78.9,76.8,52,60
S1317,63.0,88.0,73,471
S1318,73.2,73.5,64,618
S1319,65.9,91.2,76,393
S1320,69.6,62.7,83,641
S1321,77.5,97.4,96,702
S1322,54.9,100.0,80,614
S1323,98.0,65.5,95,491
S1324,51.9,64.0,83,728
S1325,48.6,98.2,26,808
S1326,86.5,100.0,55,363
S1327,80.7,62.6,77,1089
S1328,78.0,64.4,48,651
S1329,78.1,66.9,98,685
S1330,67.8,47.8,124,885
S1331,53.6,55.5,116,747
S1332,69.2,53.9,76,956
S1333,57.2,58.2,123,763
S1334,83.6,71.4,86,502
S1335,65.6,76.2,72,784
S1336,54.8,99.9,64,348
S1337,62.9,54.0,73,711
S1338,74.6,89.7,71,670
S1339,59.0,68.1,86,619
S1340,54.8,71.1,86,642
S1341,71.9,84.1,82,134
S1342,71.9,51.8,94,520
S1343,59.9,78.9,115,706
S1344,60.5,75.0,108,726
S1345,71.7,80.9,40,381
S1346,44.8,77.2,10,1047
S1347,45.5,100.0,108,428
S1348,56.5,60.5,43,961
S1349,64.6,62.4,75,803
S1350,73.0,60.8,49,492
S1351,91.6,62.0,31,1194
S1352,81.7,60.5,97,333
S1353,65.4,93.4,103,946
S1354,67.7,97.6,65,970
S1355,52.0,61.7,10,485
S1356,67.7,57.0,66,1083
S1357,63.4,80.5,92,607
S1358,73.2,62.1,40,763
S1359,54.8,83.4,87,755
S1360,76.3,75.7,81,641
S1361,92.5,44.7,98,915
S1362,66.3,99.9,85,910
S1363,74.4,100.0,54,172
S1364,79.0,61.0,115,1058
S1365,61.6,65.0,77,197
S1366,71.6,77.1,81,979
S1367,68.2,78.0,55,1006
S1368,69.6,83.9,69,363
S1369,55.6,100.0,57,560
S1370,68.4,68.8,77,359
S1371,76.0,57.6,129,617
S1372,91.2,47.2,43,590
S1373,83.3,58.8,36,906
S1374,98.0,71.4,123,1059
S1375,55.7,100.0,76,1084
S1376,82.0,62.7,63,516
S1377,70.9,76.0,111,619
S1378,98.0,71.7,65,191
S1379,55.1,93.4,133,446
S1380,54.6,100.0,100,959
S1381,58.4,62.4,68,1148
S1382,34.0,63.2,142,322
S1383,59.6,90.8,65,508
S1384,55.9,84.3,102,672
S1385,70.4,100.0,90,761
S1386,73.5,82.5,118,445
S1387,98.0,65.5,125,802
S1388,83.2,82.6,82,542
S1389,58.8,92.0,60,675
S1390,53.6,86.8,94,838
S1391,75.9,81.1,63,681
S1392,46.9,91.2,138,553
S1393,97.3,93.0,85,648
S1394,86.9,96.9,71,654
S1395,60.5,83.7,87,572
S1396,40.6,69.0,44,604
S1397,89.7,74.6,54,1143
S1398,66.2,93.7,115,842
S1399,87.8,57.3,63,594
S1400,42.5,78.6,52,882
